district,rainfall,humidity,wind_speed,temperature,lightning,risk
Dharwad,347.29,100,24.66,22.75,20,High
Shivamogga,105.17,34,37.0,18.66,18,Medium
Bagalkot,330.79,74,20.41,36.47,19,Medium
Bengaluru Urban,225.94,54,38.94,20.78,18,High
Mandya,90.66,75,19.68,18.22,16,Low
Chikkaballapur,92.24,43,45.67,26.05,25,Medium
Vijayapura,226.54,94,44.06,22.43,20,High
Bidar,3.0,88,47.93,30.52,7,Medium
Kodagu,317.77,94,2.21,23.95,0,Medium
Bengaluru Urban,224.91,60,48.92,28.42,13,High
Mysuru,328.72,68,5.38,41.93,2,Low
Ballari,175.24,35,27.17,34.4,22,Medium
Dharwad,67.47,63,22.74,20.29,2,Low
Ballari,114.1,83,29.02,19.52,20,Medium
Bidar,334.97,57,57.03,25.25,10,Medium
Davanagere,61.67,98,0.15,41.2,9,Low
Kolar,231.53,34,23.83,31.62,10,Medium
Kodagu,282.68,51,36.52,40.4,18,High
Bidar,214.44,45,26.32,26.69,2,Low
Dharwad,326.87,41,52.2,26.55,13,High
Mandya,156.4,62,34.03,34.77,5,Low
Chitradurga,183.69,37,54.56,35.32,20,Medium
Vijayapura,141.89,41,20.58,22.83,23,Medium
Koppal,203.47,44,32.0,30.6,6,Medium
Vijayanagara,49.66,52,5.96,41.4,9,Low
Kodagu,143.2,84,35.94,31.07,15,High
Ballari,141.51,65,32.41,33.42,12,Medium
Yadgir,26.92,69,32.24,41.16,9,Low
Chikkamagaluru,113.67,32,52.99,20.23,24,Medium
Gadag,224.43,64,35.48,34.71,6,Medium
Bengaluru Rural,96.52,83,20.95,32.76,11,Medium
Tumakuru,149.46,35,23.3,23.2,18,Medium
Bengaluru Urban,142.29,63,17.65,27.22,1,Low
Chamarajanagar,207.42,69,32.91,37.42,10,Medium
Koppal,269.05,97,45.56,36.31,25,High
Koppal,152.15,73,14.99,27.29,22,Medium
Davanagere,146.36,63,10.07,40.72,18,Medium
Shivamogga,17.24,50,56.23,26.19,4,Low
Kodagu,161.61,66,40.44,21.31,11,Medium
Uttara Kannada,62.79,34,38.27,20.15,12,Medium
Yadgir,122.6,97,36.29,40.4,25,High
Gadag,111.73,96,38.73,24.79,11,Medium
Vijayapura,165.32,54,19.56,28.31,0,Low
Bagalkot,319.78,95,2.94,29.41,25,Medium
Bengaluru Rural,8.43,61,4.81,30.7,1,Low
Haveri,64.46,78,41.31,27.43,16,Medium
Kodagu,157.51,87,49.84,26.52,23,High
Mangaluru,324.81,84,14.26,22.4,14,Medium
Bengaluru Rural,67.57,45,30.85,29.66,23,Medium
Bengaluru Urban,325.0,90,35.85,28.48,12,High
Bidar,186.92,82,50.53,39.74,24,High
Davanagere,338.48,67,58.94,32.25,17,High
Chitradurga,324.06,85,7.85,39.41,17,Medium
Belagavi,146.98,36,11.02,30.87,11,Low
Davanagere,243.19,96,54.03,33.1,19,High
Ramanagara,161.62,90,9.14,39.48,3,Low
Belagavi,266.09,81,14.59,33.2,23,Medium
Raichur,75.18,49,46.45,41.72,19,Medium
Kalaburagi,119.27,85,59.92,18.02,9,Medium
Chitradurga,341.84,69,10.51,24.6,17,Medium
Chitradurga,69.43,91,31.84,27.0,12,Medium
Ballari,185.16,75,42.34,26.85,3,Medium
Bagalkot,100.22,75,4.31,22.23,5,Low
Vijayapura,247.34,60,54.51,34.46,24,High
Mandya,197.03,87,46.64,33.06,16,High
Chitradurga,101.12,92,34.01,37.8,10,Medium
Mangaluru,79.41,92,9.29,36.66,25,Medium
Chamarajanagar,32.64,79,10.19,36.31,6,Low
Bagalkot,22.62,77,10.38,23.71,25,Low
Koppal,50.05,49,34.74,18.43,23,Medium
Tumakuru,170.57,76,1.99,20.15,15,Medium
Belagavi,57.83,65,43.61,26.96,23,Medium
Mysuru,243.01,30,37.13,39.87,1,Medium
Ballari,170.6,42,11.84,19.28,10,Low
Kodagu,241.95,87,4.0,32.67,25,Medium
Chitradurga,166.82,98,17.87,41.95,17,Medium
Tumakuru,184.83,86,42.12,30.8,1,Medium
Uttara Kannada,187.31,83,9.0,33.5,19,Medium
Bengaluru Urban,58.0,35,58.28,39.85,23,Medium
Haveri,339.01,52,56.37,33.21,14,High
Kodagu,57.31,60,21.73,19.51,21,Medium
Chamarajanagar,342.93,84,5.84,25.35,10,Medium
Mysuru,191.32,40,6.04,36.81,10,Low
Haveri,97.95,49,32.06,34.06,19,Medium
Chamarajanagar,46.16,39,24.45,26.72,2,Low
Chitradurga,192.59,54,37.6,39.61,17,Medium
Bengaluru Rural,40.9,65,57.31,18.39,22,Medium
Bidar,289.28,30,32.58,22.53,9,Medium
Chamarajanagar,144.62,73,51.28,34.73,3,Medium
Ballari,226.59,85,1.67,18.21,24,Medium
Yadgir,148.66,64,33.01,38.03,9,Medium
Hassan,247.59,67,11.66,26.09,21,Medium
Bengaluru Rural,220.47,32,53.82,27.16,1,Medium
Raichur,151.1,31,23.42,38.08,5,Low
Hassan,35.21,42,11.03,27.49,6,Low
Chitradurga,268.84,73,46.8,40.48,23,High
Vijayapura,325.62,63,3.99,39.78,4,Low
Bengaluru Rural,68.13,89,3.9,32.64,24,Medium
Mangaluru,183.31,44,34.12,36.5,15,Medium
Yadgir,336.44,93,3.16,35.3,22,Medium
Kodagu,58.11,80,5.66,40.67,6,Low
Koppal,199.28,95,1.38,31.08,9,Medium
Yadgir,15.22,54,37.84,40.97,22,Medium
Bidar,179.54,32,16.0,20.41,8,Low
Belagavi,272.05,37,21.03,30.89,20,Medium
Yadgir,346.46,97,56.81,38.59,21,High
Uttara Kannada,313.85,86,53.48,34.42,15,High
Kodagu,70.28,61,56.75,35.35,19,Medium
Chikkaballapur,123.39,42,35.41,31.44,24,Medium
Bagalkot,343.0,90,44.43,31.78,6,High
Chikkamagaluru,206.05,88,47.42,33.08,16,High
Dharwad,107.87,32,12.88,32.9,22,Low
Kolar,134.8,61,40.72,22.4,21,Medium
Koppal,240.76,88,2.28,33.64,1,Medium
Chikkaballapur,297.67,68,49.07,26.19,2,Medium
Udupi,313.65,41,16.17,36.25,25,Medium
Chikkaballapur,243.5,63,42.54,27.41,2,Medium
Bengaluru Urban,75.38,100,12.34,20.46,12,Low
Chikkamagaluru,337.91,92,23.17,41.99,7,Medium
Ballari,92.59,79,24.55,38.29,25,Medium
Yadgir,260.27,69,24.01,23.71,1,Medium
Chitradurga,180.15,35,6.9,18.16,15,Medium
Udupi,272.21,92,24.17,22.61,1,Medium
Vijayanagara,214.92,48,29.95,31.83,20,Medium
Gadag,311.34,35,12.11,32.35,12,Medium
Ramanagara,19.08,92,48.78,30.15,11,Medium
Kolar,243.09,59,4.45,18.7,14,Medium
Tumakuru,58.26,42,27.05,22.06,11,Low
Kodagu,19.34,97,34.86,23.95,2,Low
Kolar,134.53,41,24.14,33.23,25,Medium
Udupi,62.88,40,39.0,31.08,21,Medium
Bengaluru Rural,59.36,87,41.71,30.13,1,Medium
Bengaluru Urban,0.89,86,54.62,22.74,10,Medium
Chamarajanagar,27.38,75,9.73,25.31,13,Low
Uttara Kannada,330.59,36,41.58,35.66,19,High
Ballari,231.79,73,30.91,34.51,20,Medium
Chikkaballapur,96.9,60,51.59,39.09,24,Medium
Vijayapura,104.4,67,2.98,29.78,22,Low
Vijayapura,186.73,31,37.8,38.06,12,Medium
Gadag,78.89,63,9.55,29.11,10,Low
Ramanagara,287.63,43,41.31,35.56,14,High
Chitradurga,87.43,32,4.24,26.97,4,Low
Uttara Kannada,183.46,86,20.56,19.62,11,Medium
Kalaburagi,32.91,35,11.21,23.28,22,Low
Hassan,165.4,86,15.06,33.56,11,Medium
Chamarajanagar,201.22,100,2.34,32.56,16,Medium
Kodagu,214.16,64,33.2,24.09,6,Medium
Vijayanagara,337.44,58,37.65,20.17,1,Medium
Kolar,262.06,89,10.05,38.68,11,Medium
Yadgir,143.79,36,36.29,27.15,6,Medium
Tumakuru,169.37,68,2.34,39.62,18,Medium
Mangaluru,160.16,83,1.04,30.82,23,Medium
Chikkamagaluru,180.91,48,53.01,31.01,2,Medium
Ramanagara,265.98,85,31.4,29.13,11,Medium
Kodagu,41.03,71,34.32,40.92,7,Low
Chamarajanagar,208.81,68,48.94,37.1,21,Medium
Chikkaballapur,64.96,72,33.63,33.9,14,Medium
Tumakuru,160.62,47,57.76,30.07,2,Medium
Chikkaballapur,19.69,76,49.68,37.46,23,Medium
Udupi,101.92,40,25.84,39.88,19,Medium
Hassan,197.71,63,49.67,31.45,15,Medium
Mangaluru,98.04,46,23.79,36.84,23,Medium
Ballari,219.18,79,24.82,29.49,7,Medium
Bengaluru Urban,343.33,49,57.39,27.88,10,Medium
Mysuru,221.54,76,1.6,41.16,15,Medium
Belagavi,273.86,84,36.38,19.11,17,High
Tumakuru,290.07,50,20.62,40.09,17,Medium
Bengaluru Rural,286.92,93,10.61,29.87,14,Medium
Bidar,133.88,53,47.99,26.37,5,Medium
Chamarajanagar,326.15,31,57.36,24.13,9,Medium
Bengaluru Urban,20.54,90,39.94,23.33,18,Medium
Shivamogga,225.85,48,39.44,28.47,0,Medium
Dharwad,51.42,82,1.95,23.2,1,Low
Bidar,226.9,33,51.72,40.6,16,High
Chikkaballapur,44.9,46,29.57,20.06,22,Medium
Gadag,78.29,80,53.99,36.4,16,Medium
Bengaluru Urban,51.02,47,8.4,40.23,15,Low
Kolar,272.88,85,27.68,40.19,9,Medium
Udupi,121.76,79,53.92,32.8,13,Medium
Raichur,27.22,55,17.21,40.39,15,Low
Mandya,123.64,32,26.18,20.39,24,Medium
Tumakuru,29.44,65,41.59,39.6,24,Medium
Uttara Kannada,316.31,58,30.27,41.09,25,Medium
Koppal,71.04,45,27.58,27.21,6,Low
Kolar,5.33,37,13.18,29.73,10,Low
Gadag,74.44,39,15.57,25.01,7,Low
Uttara Kannada,39.18,54,54.07,35.7,10,Medium
Udupi,263.8,94,39.6,40.42,8,High
Dharwad,277.81,95,29.05,28.72,2,Medium
Raichur,143.89,65,18.28,39.63,11,Low
Gadag,147.38,55,51.72,25.3,9,Medium
Bengaluru Rural,61.66,99,20.25,38.62,17,Medium
Shivamogga,173.5,98,43.97,19.02,14,High
Mandya,266.04,92,59.95,22.57,8,High
Chikkamagaluru,210.54,61,42.85,27.8,18,Medium
Hassan,149.07,42,51.86,40.72,24,Medium
Kolar,257.91,37,30.86,22.68,22,Medium
Belagavi,187.77,52,41.7,26.32,25,Medium
Vijayapura,302.75,66,28.49,19.69,20,Medium
Mysuru,259.55,66,0.38,40.37,1,Low
Bidar,177.73,93,21.8,18.32,20,Medium
Ballari,289.04,54,9.48,26.04,5,Low
Vijayanagara,21.78,88,15.6,34.66,18,Medium
Chitradurga,70.55,76,43.81,39.79,17,Medium
Davanagere,116.34,42,25.52,27.4,1,Low
Tumakuru,281.93,44,20.25,39.83,6,Medium
Shivamogga,23.61,74,53.62,30.91,17,Medium
Mysuru,329.04,78,13.61,32.33,5,Low
Chikkamagaluru,162.7,66,16.57,25.45,10,Low
Chitradurga,60.84,49,2.05,19.39,12,Low
Vijayanagara,274.94,39,3.32,31.68,11,Medium
Chamarajanagar,211.27,52,2.55,33.73,15,Medium
Mangaluru,27.1,59,26.99,33.67,22,Medium
Ballari,99.76,34,56.35,22.0,23,Medium
Koppal,145.44,41,38.92,40.82,15,Medium
Yadgir,272.07,90,30.0,28.28,18,High
Vijayanagara,60.39,85,32.98,31.17,15,Medium
Yadgir,281.33,34,56.37,20.45,1,Medium
Bidar,131.23,46,32.35,30.94,9,Medium
Bengaluru Urban,148.86,65,24.61,22.32,9,Medium
Koppal,8.59,90,19.26,25.28,22,Medium
Koppal,61.53,68,13.06,18.65,4,Low
Gadag,5.24,100,24.35,21.95,22,Medium
Shivamogga,207.47,83,18.9,40.06,14,Medium
Uttara Kannada,160.5,63,6.08,29.11,12,Low
Kolar,110.95,92,43.49,36.38,4,Medium
Bengaluru Rural,109.05,44,19.09,38.19,17,Low
Bagalkot,193.87,82,54.15,24.57,3,Medium
Mysuru,53.2,84,20.65,41.1,3,Low
Bagalkot,27.0,56,23.81,20.86,23,Medium
Haveri,192.46,83,24.2,21.03,22,Medium
Bengaluru Rural,183.97,32,22.23,24.38,23,Medium
Mysuru,98.07,80,29.74,28.44,10,Low
Kolar,127.4,84,51.77,39.88,5,Medium
Chamarajanagar,227.26,60,11.2,18.95,17,Medium
Bengaluru Rural,172.46,51,51.54,38.63,6,Medium
Chikkamagaluru,49.52,68,9.66,31.55,7,Low
Mysuru,32.4,46,6.87,38.6,21,Low
Belagavi,7.76,77,6.78,35.22,20,Low
Bengaluru Urban,171.22,43,6.99,28.41,17,Medium
Belagavi,7.36,100,28.92,26.13,11,Medium
Tumakuru,294.73,83,58.22,36.75,7,High
Bagalkot,207.94,86,28.9,19.37,3,Medium
Kalaburagi,296.19,100,49.21,23.21,23,High
Uttara Kannada,321.57,98,9.75,34.5,13,Medium
Belagavi,3.26,54,3.87,23.1,23,Low
Davanagere,269.5,44,10.14,39.45,20,Medium
Mangaluru,79.07,50,0.08,26.81,7,Low
Vijayapura,18.08,67,52.78,33.68,16,Medium
Bengaluru Rural,140.82,54,19.97,35.88,13,Medium
Tumakuru,51.93,38,54.07,23.58,1,Low
Chamarajanagar,113.04,91,45.05,20.14,4,Medium
Uttara Kannada,149.01,49,15.05,41.14,22,Medium
Ballari,130.14,36,48.35,19.69,16,Medium
Uttara Kannada,240.74,61,20.08,26.98,25,Medium
Kalaburagi,129.98,68,54.67,21.31,0,Medium
Vijayapura,215.32,86,19.27,29.44,1,Low
Hassan,228.4,34,32.38,20.51,12,Medium
Davanagere,44.97,71,9.52,31.77,24,Low
Bagalkot,308.78,98,58.55,32.45,4,Medium
Kalaburagi,155.69,49,10.27,18.66,24,Medium
Koppal,334.73,67,39.6,22.11,19,High
Davanagere,333.66,95,0.05,33.02,9,Medium
Chamarajanagar,44.11,41,24.03,36.72,7,Low
Kolar,30.92,63,22.56,30.18,11,Low
Shivamogga,153.95,72,11.07,28.25,12,Low
Tumakuru,140.68,36,23.83,34.1,2,Low
Raichur,181.98,65,32.78,38.65,1,Low
Chikkaballapur,107.3,85,30.7,29.53,8,Medium
Haveri,235.63,85,33.87,23.4,17,High
Gadag,162.87,32,58.81,21.22,16,Medium
Tumakuru,189.05,33,39.46,26.97,9,Medium
Vijayanagara,86.23,94,28.0,19.72,5,Low
Davanagere,251.25,65,28.62,23.65,13,Medium
Mysuru,283.16,92,54.72,35.16,17,High
Mangaluru,207.51,84,57.96,21.92,14,High
Kalaburagi,47.34,77,33.34,23.7,14,Medium
Raichur,62.13,94,28.6,31.5,2,Low
Chikkaballapur,118.69,35,24.31,24.51,14,Medium
Bidar,27.03,73,36.52,27.38,9,Medium
Belagavi,151.54,82,26.8,28.84,12,Medium
Hassan,265.78,50,58.52,31.99,11,Medium
Kolar,100.0,69,51.0,37.65,9,Medium
Belagavi,224.19,37,43.95,41.82,10,Medium
Chitradurga,172.09,55,56.08,24.82,15,Medium
Kolar,89.63,31,26.85,27.59,6,Low
Dharwad,27.56,61,55.67,19.03,4,Low
Mangaluru,12.34,74,34.87,31.47,21,Medium
Gadag,322.7,74,55.04,31.08,24,High
Chikkaballapur,83.56,48,1.04,26.72,11,Low
Haveri,67.15,99,58.65,27.45,7,Medium
Uttara Kannada,254.37,34,58.13,26.7,5,Medium
Vijayanagara,53.39,84,18.61,23.62,1,Low
Shivamogga,16.87,63,1.39,37.2,10,Low
Vijayanagara,349.58,78,46.54,23.45,4,Medium
Raichur,152.03,82,20.85,38.28,20,Medium
Chamarajanagar,287.2,61,28.16,30.61,16,Medium
Uttara Kannada,39.73,62,1.51,41.12,4,Low
Tumakuru,67.99,34,12.14,18.64,21,Low
Vijayanagara,51.39,36,51.89,21.52,3,Low
Yadgir,30.77,81,41.42,34.34,24,Medium
Haveri,41.2,60,16.96,36.0,2,Low
Koppal,310.23,90,44.88,19.72,16,High
Hassan,115.12,72,42.69,27.08,21,Medium
Chikkamagaluru,208.84,39,59.97,30.69,2,Medium
Mangaluru,326.19,56,51.25,34.78,0,Medium
Vijayanagara,92.83,88,37.54,35.23,17,Medium
Ballari,110.78,36,21.41,34.0,2,Low
Chikkamagaluru,216.87,37,26.31,18.42,4,Low
Uttara Kannada,11.52,42,46.58,29.33,6,Medium
Gadag,162.21,54,21.3,23.16,20,Medium
Hassan,71.99,46,38.51,24.92,23,Medium
Mysuru,83.77,88,10.45,31.71,16,Medium
Bagalkot,253.5,47,39.12,29.82,7,Medium
Davanagere,296.91,66,50.11,34.55,21,High
Dharwad,54.16,99,44.07,32.31,18,Medium
Ballari,319.19,89,29.53,28.1,12,Medium
Bidar,111.5,30,50.9,31.13,9,Medium
Ballari,269.7,71,53.41,37.49,25,High
Shivamogga,180.81,44,1.85,19.2,18,Medium
Udupi,65.54,62,37.67,32.41,13,Medium
Kodagu,123.24,78,4.08,41.18,10,Low
Chikkamagaluru,78.53,58,41.49,20.47,24,Medium
Vijayapura,142.34,87,54.64,25.57,4,Medium
Vijayapura,63.7,51,6.02,23.21,23,Low
Shivamogga,197.2,87,34.05,19.88,25,Medium
Kodagu,347.65,42,3.86,31.9,18,Medium
Belagavi,205.0,62,13.35,41.35,23,Medium
Mangaluru,14.5,63,33.0,33.16,1,Low
Koppal,187.47,64,30.53,31.1,8,Medium
Haveri,296.79,57,54.22,36.68,25,High
Chikkamagaluru,258.54,98,17.4,28.97,13,Medium
Hassan,217.03,37,53.42,39.69,12,Medium
Tumakuru,278.11,32,23.78,30.12,21,Medium
Mangaluru,344.16,81,58.13,35.2,13,High
Koppal,134.76,59,21.43,32.37,4,Low
Koppal,209.97,65,2.89,27.68,18,Medium
Uttara Kannada,37.23,85,38.67,28.0,21,Medium
Uttara Kannada,137.6,70,45.45,38.39,6,Medium
Vijayanagara,67.52,59,17.71,41.03,13,Low
Ballari,64.66,39,24.14,23.2,2,Low
Vijayanagara,261.23,51,40.05,28.1,18,High
Bidar,230.42,39,44.47,20.2,23,High
Tumakuru,348.58,48,5.77,33.87,5,Low
Bagalkot,226.74,30,12.06,20.52,25,Medium
Kolar,91.27,88,28.48,36.26,12,Medium
Ballari,312.25,51,31.74,33.58,0,Medium
Bengaluru Urban,3.01,50,54.29,26.41,24,Medium
Shivamogga,194.28,85,21.05,38.38,14,Medium
Ramanagara,19.06,32,5.35,23.92,19,Low
Yadgir,56.8,58,20.66,24.79,19,Medium
Vijayanagara,174.51,79,17.78,28.51,12,Low
Uttara Kannada,194.17,47,8.58,19.73,2,Low
Kolar,8.84,94,47.61,27.61,19,Medium
Hassan,231.37,73,37.09,33.31,25,High
Chitradurga,306.38,54,36.73,30.01,25,High
Vijayanagara,297.92,49,56.3,28.52,15,High
Raichur,103.44,47,17.38,41.18,14,Low
Uttara Kannada,145.06,83,36.91,36.91,18,High
Bengaluru Urban,45.84,75,30.69,18.33,18,Medium
Chitradurga,335.19,30,48.69,26.11,6,Medium
Gadag,301.49,94,48.84,33.15,17,High
Chikkamagaluru,155.21,86,8.64,41.71,10,Medium
Kalaburagi,137.02,72,41.5,41.77,21,Medium
Haveri,94.21,71,58.86,36.59,17,Medium
Bengaluru Urban,341.2,97,58.74,30.11,1,Medium
Ramanagara,198.73,30,30.35,18.42,23,Medium
Bidar,93.26,86,36.91,30.76,9,Medium
Chamarajanagar,145.65,77,10.82,37.21,22,Medium
Chamarajanagar,13.09,46,3.78,22.81,10,Low
Mysuru,148.34,73,53.48,31.13,17,Medium
Haveri,124.6,33,24.18,29.5,8,Medium
Bidar,262.69,47,44.32,34.36,10,Medium
Chikkamagaluru,75.44,100,44.94,35.02,25,Medium
Shivamogga,276.63,89,20.55,20.24,13,High
Davanagere,247.63,61,2.06,41.79,17,Medium
Chitradurga,42.47,46,31.28,33.87,18,Medium
Bagalkot,253.41,37,56.43,32.49,19,High
Haveri,105.94,59,40.56,30.74,6,Medium
Tumakuru,122.05,76,38.58,31.45,13,Medium
Chitradurga,135.73,86,54.85,41.52,22,High
Haveri,52.81,84,37.02,22.19,5,Medium
Kodagu,248.19,75,52.72,30.11,24,High
Gadag,227.22,76,2.9,37.97,4,Low
Bengaluru Rural,183.46,81,6.07,40.68,15,Medium
Bidar,56.12,31,2.62,22.84,21,Low
Bengaluru Urban,8.91,88,0.53,21.31,17,Medium
Gadag,299.2,48,18.06,26.87,10,Medium
Kalaburagi,317.38,82,51.79,20.52,4,Medium
Kolar,168.4,56,0.07,38.87,7,Low
Mandya,121.87,85,20.98,23.7,7,Medium
Bidar,75.27,77,39.36,31.28,17,Medium
Kalaburagi,86.61,62,57.69,39.36,13,Medium
Chitradurga,332.27,62,55.52,37.38,21,High
Udupi,285.42,78,40.02,31.01,24,High
Chikkamagaluru,294.35,74,53.57,34.97,4,Medium
Ballari,325.68,87,1.4,25.41,19,Medium
Kalaburagi,157.17,87,2.33,25.72,21,Medium
Uttara Kannada,349.4,95,29.44,22.1,24,High
Haveri,270.44,90,20.39,20.82,19,High
Davanagere,140.89,51,55.7,23.69,19,Medium
Yadgir,347.79,38,14.1,20.61,20,Medium
Kolar,62.55,67,1.74,33.82,2,Low
Kodagu,343.26,39,38.15,23.62,19,High
Chikkamagaluru,249.77,42,51.8,26.6,8,Medium
Tumakuru,117.44,89,7.14,41.55,23,Medium
Bidar,149.43,91,36.97,30.23,11,Medium
Belagavi,162.31,77,56.19,30.76,20,Medium
Chamarajanagar,86.57,74,33.67,22.03,13,Medium
Davanagere,226.36,88,47.05,29.01,4,Medium
Chikkaballapur,31.26,78,25.87,41.58,8,Low
Mandya,313.54,47,22.47,25.31,23,Medium
Chamarajanagar,80.35,98,34.6,30.87,18,Medium
Belagavi,117.93,96,25.43,19.45,0,Low
Tumakuru,168.67,91,33.63,38.29,17,Medium
Kodagu,212.69,57,50.39,40.07,2,Medium
Dharwad,344.31,71,13.13,41.16,4,Low
Vijayanagara,113.24,92,42.79,36.3,16,Medium
Haveri,242.62,41,37.52,36.54,6,Medium
Mysuru,195.89,58,53.13,30.13,22,Medium
Mangaluru,49.78,38,51.86,18.21,17,Medium
Hassan,170.76,47,1.95,36.01,0,Low
Koppal,293.75,90,3.39,35.53,16,Medium
Ramanagara,124.7,69,33.4,38.54,22,Medium
Chikkamagaluru,183.89,64,46.73,29.61,6,Medium
Yadgir,112.41,43,18.89,24.08,24,Low
Tumakuru,130.54,74,37.89,19.63,4,Medium
Vijayanagara,331.71,88,37.66,27.76,24,High
